sofifa_id,short_name,overall,potential,value_eur,wage_eur,club_name,league_name,Year
152729,Piqué,84,89,20500000,190000,FC Barcelona,Spain Primera Division,2015
162895,Cesc Fàbregas,84,84,23000000,180000,Chelsea,English Premier League,2015
167664,G. Higuaín,84,85,27000000,170000,Napoli,Italian Serie A,2015
168435,S. Sirigu,84,85,21000000,180000,Paris Saint-Germain,French Ligue 1,2015
177509,M. Benatia,84,86,20500000,170000,FC Bayern München,German 1. Bundesliga,2015
182493,D. Godín,84,84,19000000,180000,Atlético de Madrid,Spain Primera Division,2015
184941,A. Sánchez,84,88,26500000,170000,Arsenal,English Premier League,2015
188152,Oscar,84,87,21000000,150000,Chelsea,English Premier League,2015
120533,Pepe,83,83,10000000,130000,Real Madrid CF,Spain Primera Division,2015
146439,Negredo,83,83,17000000,140000,Valencia CF,Spain Primera Division,2015
146536,Jesús Navas,83,83,15500000,150000,Manchester City,English Premier League,2015
146748,Diego López,83,83,13000000,130000,AC Milan,Italian Serie A,2015
148119,I. Akinfeev,83,83,15500000,150000,PFC CSKA Moscow,Russian Premier League,2015
162347,João Moutinho,83,83,16500000,110000,AS Monaco,French Ligue 1,2015
162835,S. Handanovič,83,83,16000000,120000,Inter,Italian Serie A,2015
168651,I. Rakitić,83,84,19500000,160000,FC Barcelona,Spain Primera Division,2015
170890,B. Matuidi,83,85,14000000,150000,Paris Saint-Germain,French Ligue 1,2015
173221,A. Candreva,83,84,18500000,130000,Lazio,Italian Serie A,2015
174543,C. Bravo,83,83,14000000,120000,FC Barcelona,Spain Primera Division,2015
180206,M. Pjanić,83,86,16500000,110000,Roma,Italian Serie A,2015
180930,E. Džeko,83,83,17000000,160000,Manchester City,English Premier League,2015
186561,A. Ramsey,83,86,15000000,130000,Arsenal,English Premier League,2015
186942,İ. Gündoğan,83,87,15000000,130000,Borussia Dortmund,German 1. Bundesliga,2015
189358,S. Kagawa,83,83,19000000,140000,Borussia Dortmund,German 1. Bundesliga,2015
189505,Pedro,83,86,18000000,160000,FC Barcelona,Spain Primera Division,2015
193080,De Gea,83,87,13500000,130000,Manchester United,English Premier League,2015
193082,J. Cuadrado,83,87,18000000,130000,Fiorentina,Italian Serie A,2015
195864,P. Pogba,83,89,13500000,120000,Juventus,Italian Serie A,2015
197781,Isco,83,88,15000000,120000,Real Madrid CF,Spain Primera Division,2015
1179,G. Buffon,82,82,7000000,110000,Juventus,Italian Serie A,2015
150724,J. Hart,82,83,15000000,150000,Manchester City,English Premier League,2015
158625,Dante,82,82,11500000,130000,FC Bayern München,German 1. Bundesliga,2015
163705,S. Mandanda,82,82,16000000,130000,Olympique de Marseille,French Ligue 1,2015
164994,J. Błaszczykowski,82,82,15500000,150000,Borussia Dortmund,German 1. Bundesliga,2015
169416,C. Vela,82,87,19000000,120000,Real Sociedad,Spain Primera Division,2015
171877,M. Hamšik,82,86,19500000,140000,Napoli,Italian Serie A,2015
172723,A. Begović,82,84,15000000,100000,Stoke City,English Premier League,2015
172871,J. Vertonghen,82,84,14500000,130000,Tottenham Hotspur,English Premier League,2015
172879,Sokratis,82,84,16000000,140000,Borussia Dortmund,German 1. Bundesliga,2015
173426,S. Mignolet,82,83,16000000,130000,Liverpool,English Premier League,2015
175943,D. Mertens,82,85,18500000,130000,Napoli,Italian Serie A,2015
176676,Marcelo,82,85,16000000,150000,Real Madrid CF,Spain Primera Division,2015
182494,F. Muslera,82,82,15500000,140000,Galatasaray SK,Turkish Süper Lig,2015
185221,Luiz Gustavo,82,83,15000000,130000,VfL Wolfsburg,German 1. Bundesliga,2015
186627,M. Balotelli,82,86,16500000,130000,Liverpool,English Premier League,2015
190460,C. Eriksen,82,88,15000000,110000,Tottenham Hotspur,English Premier League,2015
191202,N. Matić,82,85,14500000,120000,Chelsea,English Premier League,2015
192448,M. ter Stegen,82,88,11500000,110000,FC Barcelona,Spain Primera Division,2015
192563,B. Leno,82,85,11500000,100000,Bayer 04 Leverkusen,German 1. Bundesliga,2015
193747,Koke,82,85,13500000,110000,Atlético de Madrid,Spain Primera Division,2015
194765,A. Griezmann,82,88,15000000,130000,Atlético de Madrid,Spain Primera Division,2015
197445,D. Alaba,82,87,11500000,120000,FC Bayern München,German 1. Bundesliga,2015
200949,Lucas,82,87,15000000,120000,Paris Saint-Germain,French Ligue 1,2015
24630,José Reina,81,81,10000000,100000,FC Bayern München,German 1. Bundesliga,2015
135507,Fernandinho,81,81,10500000,100000,Manchester City,English Premier League,2015
139068,Nani,81,82,12000000,110000,Sporting CP,Portuguese Liga ZON SAGRES,2015
146758,Soldado,81,81,11500000,90000,Tottenham Hotspur,English Premier League,2015
164468,G. Cahill,81,81,9500000,110000,Chelsea,English Premier League,2015
164859,T. Walcott,81,85,12000000,110000,Arsenal,English Premier League,2015
165229,L. Koscielny,81,81,9500000,120000,Arsenal,English Premier League,2015
170733,Gervinho,81,83,12000000,110000,Roma,Italian Serie A,2015
170797,N. Şahin,81,84,12000000,110000,Borussia Dortmund,German 1. Bundesliga,2015
177326,M. Valbuena,81,81,11500000,90000,Dinamo Moscow,Russian Premier League,2015
178224,J. Hernández,81,83,14000000,130000,Real Madrid CF,Spain Primera Division,2015
181820,S. Jovetić,81,84,13000000,110000,Manchester City,English Premier League,2015
183285,M. Sakho,81,83,10500000,90000,Liverpool,English Premier League,2015
184881,S. Feghouli,81,88,12000000,90000,Valencia CF,Spain Primera Division,2015
189242,Coutinho,81,86,10500000,80000,Liverpool,English Premier League,2015
189332,Jordi Alba,81,85,11000000,110000,FC Barcelona,Spain Primera Division,2015
189509,Thiago,81,86,10500000,110000,FC Bayern München,German 1. Bundesliga,2015
189712,K. Strootman,81,85,12000000,90000,Roma,Italian Serie A,2015
192883,H. Mkhitaryan,81,85,13500000,110000,Borussia Dortmund,German 1. Bundesliga,2015
192985,K. De Bruyne,81,86,12000000,90000,VfL Wolfsburg,German 1. Bundesliga,2015
201535,R. Varane,81,88,8000000,100000,Real Madrid CF,Spain Primera Division,2015
201942,Roberto Firmino,81,85,10500000,60000,TSG Hoffenheim,German 1. Bundesliga,2015
207664,C. Bacca,81,81,13000000,110000,Sevilla FC,Spain Primera Division,2015
212218,A. Laporte,81,88,8000000,50000,Athletic Club de Bilbao,Spain Primera Division,2015
20775,Quaresma,80,80,10500000,100000,FC Porto,Portuguese Liga ZON SAGRES,2015
50542,J. Defoe,80,80,10000000,80000,Toronto FC,USA Major League Soccer,2015
140233,G. Ochoa,80,80,11000000,80000,Málaga CF,Spain Primera Division,2015
152554,G. Clichy,80,80,9500000,110000,Manchester City,English Premier League,2015
157481,Raúl Albiol,80,80,9500000,90000,Napoli,Italian Serie A,2015
158626,M. Debuchy,80,80,9500000,110000,Arsenal,English Premier League,2015
162240,M. Dembélé,80,82,12500000,100000,Tottenham Hotspur,English Premier League,2015
173909,K. Boateng,80,82,12000000,110000,FC Schalke 04,German 1. Bundesliga,2015
177358,M. Schneiderlin,80,84,10000000,60000,Southampton,English Premier League,2015
177413,A. Witsel,80,85,12000000,90000,Zenit St. Petersburg,Russian Premier League,2015
177644,Kiko Casilla,80,83,10500000,90000,RCD Espanyol de Barcelona,Spain Primera Division,2015
178005,Rui Patrício,80,84,11500000,110000,Sporting CP,Portuguese Liga ZON SAGRES,2015
178007,Miguel Veloso,80,80,,,,,2015
178562,É. Banega,80,85,12500000,90000,Sevilla FC,Spain Primera Division,2015
179527,L. Rémy,80,82,13000000,120000,Chelsea,English Premier League,2015
179645,S. Kjær,80,81,11000000,80000,LOSC Lille,French Ligue 1,2015
179847,F. Fazio,80,80,10500000,90000,Tottenham Hotspur,English Premier League,2015
184111,C. Benteke,80,85,12000000,70000,Aston Villa,English Premier League,2015
185020,José Callejón,80,83,13000000,100000,Napoli,Italian Serie A,2015
186153,W. Szczęsny,80,83,10500000,90000,Arsenal,English Premier League,2015
187961,Paulinho,80,85,12000000,90000,Tottenham Hotspur,English Premier League,2015
188943,K. Trapp,80,84,9500000,60000,Eintracht Frankfurt,German 1. Bundesliga,2015
189250,S. Rondón,80,83,13000000,100000,Zenit St. Petersburg,Russian Premier League,2015
189513,Parejo,80,86,12000000,80000,Valencia CF,Spain Primera Division,2015
189575,Muniaín,80,85,9500000,60000,Athletic Club de Bilbao,Spain Primera Division,2015
190813,S. El Shaarawy,80,87,9500000,100000,AC Milan,Italian Serie A,2015
192366,N. Otamendi,80,84,11000000,90000,Valencia CF,Spain Primera Division,2015
192387,C. Immobile,80,85,13000000,100000,Borussia Dortmund,German 1. Bundesliga,2015
192505,R. Lukaku,80,86,10500000,60000,Everton,English Premier League,2015
192620,H. Badstuber,80,84,11000000,100000,FC Bayern München,German 1. Bundesliga,2015
193116,M. Gonalons,80,84,10500000,90000,Olympique Lyonnais,French Ligue 1,2015
193348,X. Shaqiri,80,85,9500000,90000,FC Bayern München,German 1. Bundesliga,2015
193352,R. Rodriguez,80,84,8000000,70000,VfL Wolfsburg,German 1. Bundesliga,2015
196432,E. Pérez,80,80,11000000,110000,SL Benfica,Portuguese Liga ZON SAGRES,2015
198329,Rodrigo,80,86,12000000,90000,Valencia CF,Spain Primera Division,2015
199434,D. Tadić,80,82,13500000,70000,Southampton,English Premier League,2015
199556,M. Verratti,80,86,9500000,90000,Paris Saint-Germain,French Ligue 1,2015
202166,J. Draxler,80,85,9500000,80000,FC Schalke 04,German 1. Bundesliga,2015
202652,R. Sterling,80,86,10000000,80000,Liverpool,English Premier League,2015
204525,Iñigo Martínez,80,86,9000000,80000,Real Sociedad,Spain Primera Division,2015
48745,F. Coloccini,79,79,4500000,60000,Newcastle United,English Premier League,2015
53914,P. Jagielka,79,79,5000000,60000,Everton,English Premier League,2015
139668,F. Marchetti,79,79,7000000,80000,Lazio,Italian Serie A,2015
152747,A. Lennon,79,79,8000000,90000,Tottenham Hotspur,English Premier League,2015
157304,T. Vermaelen,79,79,6500000,110000,FC Barcelona,Spain Primera Division,2015
157960,Manuel Fernandes,79,79,7500000,90000,FC Lokomotiv Moscow,Russian Premier League,2015
158810,G. Inler,79,79,5000000,80000,Napoli,Italian Serie A,2015
161754,Javi García,79,80,7000000,110000,Zenit St. Petersburg,Russian Premier League,2015
161805,V. Behrami,79,79,6000000,60000,Hamburger SV,German 1. Bundesliga,2015
167812,S. Kaya,79,84,6500000,90000,Galatasaray SK,Turkish Süper Lig,2015
169588,J. Evans,79,82,8000000,110000,Manchester United,English Premier League,2015
170597,T. Krul,79,84,8000000,80000,Newcastle United,English Premier League,2015
171018,Mario Suárez,79,83,8000000,110000,Atlético de Madrid,Spain Primera Division,2015
171579,Raúl García,79,79,8000000,110000,Atlético de Madrid,Spain Primera Division,2015
176266,Lucas Leiva,79,79,7000000,100000,Liverpool,English Premier League,2015
176600,K. Gameiro,79,83,9000000,110000,Sevilla FC,Spain Primera Division,2015
176619,A. Ramos,79,79,8500000,110000,Borussia Dortmund,German 1. Bundesliga,2015
176944,M. Fellaini,79,80,7500000,110000,Manchester United,English Premier League,2015
177683,Y. Sommer,79,84,7500000,60000,Borussia Mönchengladbach,German 1. Bundesliga,2015
178509,O. Giroud,79,79,9000000,120000,Arsenal,English Premier League,2015
178518,R. Nainggolan,79,81,9000000,90000,Roma,Italian Serie A,2015
178750,Sergio Asenjo,79,82,7500000,60000,Villarreal CF,Spain Primera Division,2015
179605,A. Taarabt,79,83,9500000,70000,Queens Park Rangers,English Premier League,2015
179752,Ó. Cardozo,79,79,7000000,90000,Trabzonspor,Turkish Süper Lig,2015
180216,S. Coleman,79,83,7500000,60000,Everton,English Premier League,2015
180819,A. Lallana,79,83,9500000,100000,Liverpool,English Premier League,2015
182495,M. Cáceres,79,80,7500000,110000,Juventus,Italian Serie A,2015
183187,V. Stocker,79,83,8500000,60000,Hertha BSC,German 1. Bundesliga,2015
184134,Fernando,79,83,7500000,110000,Manchester City,English Premier League,2015
184344,L. Bonucci,79,83,7500000,110000,Juventus,Italian Serie A,2015
184432,Azpilicueta,79,82,7500000,90000,Chelsea,English Premier League,2015
185239,Ö. Toprak,79,82,7500000,80000,Bayer 04 Leverkusen,German 1. Bundesliga,2015
186148,R. Zieler,79,84,7500000,60000,Hannover 96,German 1. Bundesliga,2015
186569,S. Ulreich,79,82,7500000,60000,VfB Stuttgart,German 1. Bundesliga,2015
187735,A. Dzagoev,79,84,9000000,100000,PFC CSKA Moscow,Russian Premier League,2015
188081,Alex Teixeira,79,82,9000000,90000,Shakhtar Donetsk,Ukrainian Premier League,2015
188253,J. McCarthy,79,83,6000000,60000,Everton,English Premier League,2015
188567,P. Aubameyang,79,82,8500000,90000,Borussia Dortmund,German 1. Bundesliga,2015
189125,G. Bonaventura,79,84,8000000,90000,AC Milan,Italian Serie A,2015
189560,Iborra,79,80,7500000,90000,Sevilla FC,Spain Primera Division,2015
189690,Guaita,79,84,7500000,80000,Getafe CF,Spain Primera Division,2015
190547,K. Glik,79,81,8000000,70000,Torino F.C.,Italian Serie A,2015
190584,Illarramendi,79,84,8000000,90000,Real Madrid CF,Spain Primera Division,2015
190782,Sandro,79,81,7000000,60000,Queens Park Rangers,English Premier League,2015
190815,D. Blind,79,83,7000000,100000,Manchester United,English Premier League,2015
190972,E. Salvio,79,84,7500000,90000,SL Benfica,Portuguese Liga ZON SAGRES,2015
191043,Alex Sandro,79,84,6500000,90000,FC Porto,Portuguese Liga ZON SAGRES,2015
191180,J. Pastore,79,85,8500000,100000,Paris Saint-Germain,French Ligue 1,2015
191740,Ander Herrera,79,84,8000000,90000,Manchester United,English Premier League,2015
193041,K. Navas,79,82,7500000,110000,Real Madrid CF,Spain Primera Division,2015
193301,A. Lacazette,79,84,8000000,100000,Olympique Lyonnais,French Ligue 1,2015
193469,Víctor Ruíz,79,83,7500000,60000,Villarreal CF,Spain Primera Division,2015
194957,P. Jones,79,84,5500000,90000,Manchester United,English Premier League,2015
198219,L. Insigne,79,85,8000000,90000,Napoli,Italian Serie A,2015
199987,J. Cillessen,79,82,7500000,90000,Ajax,Holland Eredivisie,2015
200454,Paco Alcácer,79,85,7500000,70000,Valencia CF,Spain Primera Division,2015
200610,K. Volland,79,84,6500000,50000,TSG Hoffenheim,German 1. Bundesliga,2015
201862,M. Rojo,79,82,7500000,100000,Manchester United,English Premier League,2015
202477,Deulofeu,79,83,7500000,70000,Sevilla FC,Spain Primera Division,2015
204963,Carvajal,79,83,5500000,90000,Real Madrid CF,Spain Primera Division,2015
45186,Joaquín,78,78,6500000,70000,Fiorentina,Italian Serie A,2015
115909,Rubén Castro,78,78,5000000,35000,Real Betis Balompié,Spanish Segunda División,2015
124375,B. Yılmaz,78,78,8500000,100000,Galatasaray SK,Turkish Süper Lig,2015
124635,M. Topal,78,78,6500000,90000,Fenerbahçe SK,Turkish Süper Lig,2015
134744,A. Hutchinson,78,78,4700000,80000,Beşiktaş JK,Turkish Süper Lig,2015
137506,G. Pandev,78,78,7500000,80000,Galatasaray SK,Turkish Süper Lig,2015
138412,J. Milner,78,78,7500000,90000,Manchester City,English Premier League,2015
146111,Mikel Rico,78,78,7000000,45000,Athletic Club de Bilbao,Spain Primera Division,2015
152908,A. Young,78,78,7500000,100000,Manchester United,English Premier League,2015
153244,A. Gignac,78,78,8500000,100000,Olympique de Marseille,French Ligue 1,2015
155885,A. McGeady,78,78,7500000,70000,Everton,English Premier League,2015
155887,M. Bradley,78,82,9000000,80000,Toronto FC,USA Major League Soccer,2015
158121,B. Costil,78,79,8000000,60000,Stade Rennais FC,French Ligue 1,2015
158856,C. Gentner,78,78,7500000,60000,VfB Stuttgart,German 1. Bundesliga,2015
159145,B. Gomis,78,78,8500000,70000,Swansea City,English Premier League,2015
163083,Rolando,78,78,6500000,90000,FC Porto,Portuguese Liga ZON SAGRES,2015
163155,B. Foster,78,78,7000000,50000,West Bromwich Albion,English Premier League,2015
163489,A. Consigli,78,82,7500000,60000,U.S. Sassuolo Calcio,Italian Serie A,2015
164505,B. Guzan,78,78,8000000,50000,Aston Villa,English Premier League,2015
165526,G. Paletta,78,78,6500000,60000,Parma,Italian Serie A,2015
169596,R. Shawcross,78,79,8000000,60000,Stoke City,English Premier League,2015
170368,E. Lamela,78,84,6500000,60000,Tottenham Hotspur,English Premier League,2015
172316,Coke,78,80,7500000,80000,Sevilla FC,Spain Primera Division,2015
173208,D. Criscito,78,81,7500000,90000,Zenit St. Petersburg,Russian Premier League,2015
173432,H. Moreno,78,83,8000000,80000,RCD Espanyol de Barcelona,Spain Primera Division,2015
176794,O. Toivonen,78,78,9000000,70000,Stade Rennais FC,French Ligue 1,2015
177388,D. Payet,78,81,8000000,100000,Olympique de Marseille,French Ligue 1,2015
177553,Vieirinha,78,78,7500000,80000,VfL Wolfsburg,German 1. Bundesliga,2015
178213,E. Capoue,78,83,7000000,70000,Tottenham Hotspur,English Premier League,2015
178416,J. Lens,78,80,,,,,2015
181291,G. Wijnaldum,78,83,8000000,80000,PSV,Holland Eredivisie,2015
181458,I. Perišić,78,82,8500000,70000,VfL Wolfsburg,German 1. Bundesliga,2015
183280,A. Rami,78,78,6500000,90000,AC Milan,Italian Serie A,2015
183574,M. Kruse,78,81,9500000,70000,Borussia Mönchengladbach,German 1. Bundesliga,2015
183666,Roberto,78,78,7500000,90000,Olympiacos CFP,Greek Super League,2015
183711,J. Henderson,78,83,8000000,70000,Liverpool,English Premier League,2015
183899,P. Piatti,78,83,8500000,70000,Valencia CF,Spain Primera Division,2015
184826,Adrien Silva,78,83,8500000,80000,Sporting CP,Portuguese Liga ZON SAGRES,2015
185103,A. Kolarov,78,78,6500000,90000,Manchester City,English Premier League,2015
185132,Mikel San José,78,83,7500000,50000,Athletic Club de Bilbao,Spain Primera Division,2015
185174,A. Poli,78,83,8000000,80000,AC Milan,Italian Serie A,2015
186115,K. Gibbs,78,82,7500000,80000,Arsenal,English Premier League,2015
186146,D. Welbeck,78,83,8000000,80000,Arsenal,English Premier League,2015
187052,Y. M'Vila,78,81,7000000,80000,Inter,Italian Serie A,2015
187072,L. Stindl,78,80,8500000,50000,Hannover 96,German 1. Bundesliga,2015
187084,M. Diouf,78,80,9500000,70000,Stoke City,English Premier League,2015
188802,M. Schmelzer,78,80,8000000,90000,Borussia Dortmund,German 1. Bundesliga,2015
190149,De Marcos,78,82,7500000,50000,Athletic Club de Bilbao,Spain Primera Division,2015
191032,G. Töre,78,83,6500000,70000,Beşiktaş JK,Turkish Süper Lig,2015
192086,A. Kokorin,78,82,8000000,70000,Dinamo Moscow,Russian Premier League,2015
192722,R. Hamouma,78,81,9000000,80000,AS Saint-Étienne,French Ligue 1,2015
193698,O. Baumann,78,81,7500000,50000,TSG Hoffenheim,German 1. Bundesliga,2015
197890,Arribas,78,80,7500000,60000,Sevilla FC,Spain Primera Division,2015
198176,S. de Vrij,78,82,5500000,70000,Lazio,Italian Serie A,2015
198784,A. Oxlade-Chamberlain,78,86,6500000,70000,Arsenal,English Premier League,2015
199189,R. Barkley,78,86,7500000,45000,Everton,English Premier League,2015
200315,Cristian Tello,78,83,7500000,70000,FC Porto,Portuguese Liga ZON SAGRES,2015
200752,Juan Jesus,78,84,6500000,80000,Inter,Italian Serie A,2015
201400,Rafinha,78,82,7500000,70000,FC Barcelona,Spain Primera Division,2015
202556,M. Depay,78,88,6500000,70000,PSV,Holland Eredivisie,2015
204639,S. Savić,78,82,6500000,70000,Fiorentina,Italian Serie A,2015
205566,Alberto Moreno,78,84,5500000,60000,Liverpool,English Premier League,2015
207566,William Carvalho,78,85,5000000,70000,Sporting CP,Portuguese Liga ZON SAGRES,2015
207865,Marquinhos,78,86,5500000,70000,Paris Saint-Germain,French Ligue 1,2015
210513,J. Quintero,78,86,7500000,80000,FC Porto,Portuguese Liga ZON SAGRES,2015
2147,M. Stekelenburg,77,77,4700000,50000,AS Monaco,French Ligue 1,2015
110381,M. Rodríguez,77,77,3000000,70000,Newell's Old Boys,Argentina Primera División,2015
143121,J. Sosa,77,77,4900000,80000,Beşiktaş JK,Turkish Süper Lig,2015
150516,L. Podolski,77,77,4900000,80000,Arsenal,English Premier League,2015
158963,L. Biglia,77,77,5000000,80000,Lazio,Italian Serie A,2015
159261,F. Quagliarella,77,77,4700000,60000,Torino F.C.,Italian Serie A,2015
163600,J. Ruddy,77,78,5000000,60000,Norwich City,English League Championship,2015
165109,S. Radu,77,80,4900000,80000,Lazio,Italian Serie A,2015
165247,I. Khune,77,80,5000000,90000,Kaizer Chiefs,South African Premier Division,2015
168354,E. Viviano,77,77,5000000,60000,U.C. Sampdoria,Italian Serie A,2015
169181,K. Vermeer,77,77,5000000,90000,Feyenoord,Holland Eredivisie,2015
172114,D. Valeri,77,77,6000000,40000,Portland Timbers,USA Major League Soccer,2015
173306,C. Ansaldi,77,80,4900000,90000,Atlético de Madrid,Spain Primera Division,2015
176550,D. Ospina,77,82,5000000,80000,Arsenal,English Premier League,2015
176733,M. Berg,77,77,6000000,100000,Panathinaikos FC,Greek Super League,2015
176993,Bojan,77,81,5500000,60000,Stoke City,English Premier League,2015
177983,C. Zapata,77,78,4900000,90000,AC Milan,Italian Serie A,2015
179696,E. Insua,77,82,5000000,50000,Rayo Vallecano,Spain Primera Division,2015
179783,R. Fährmann,77,81,5000000,80000,FC Schalke 04,German 1. Bundesliga,2015
180714,Guilherme,77,77,5000000,80000,FC Lokomotiv Moscow,Russian Premier League,2015
182168,A. Ranocchia,77,81,5500000,90000,Inter,Italian Serie A,2015
182212,A. Modeste,77,79,6500000,70000,TSG Hoffenheim,German 1. Bundesliga,2015
182862,M. Pereira,77,77,3800000,80000,SL Benfica,Portuguese Liga ZON SAGRES,2015
183855,A. Ogbonna,77,81,5500000,90000,Juventus,Italian Serie A,2015
183871,N. Müller,77,80,6000000,60000,Hamburger SV,German 1. Bundesliga,2015
183893,C. Yacob,77,77,5000000,60000,West Bromwich Albion,English Premier League,2015
184200,M. Arnautović,77,79,6000000,50000,Stoke City,English Premier League,2015
184252,L. Pratto,77,78,6500000,90000,Vélez Sarsfield,Argentina Primera División,2015
184484,G. Sigurðsson,77,80,6000000,60000,Swansea City,English Premier League,2015
184716,J. Allen,77,82,5500000,70000,Liverpool,English Premier League,2015
186452,S. de Jong,77,79,6500000,60000,Newcastle United,English Premier League,2015
187132,C. Zambrano,77,80,4900000,50000,Eintracht Frankfurt,German 1. Bundesliga,2015
188154,L. Holtby,77,81,5500000,60000,Hamburger SV,German 1. Bundesliga,2015
188377,K. Walker,77,81,4900000,70000,Tottenham Hotspur,English Premier League,2015
190223,Balenziaga,77,80,5500000,60000,Athletic Club de Bilbao,Spain Primera Division,2015
190286,Sergio Canales,77,84,5500000,70000,Real Sociedad,Spain Primera Division,2015
190778,J. Zoet,77,83,4500000,80000,PSV,Holland Eredivisie,2015
192227,S. Mustafi,77,85,3800000,60000,Valencia CF,Spain Primera Division,2015
192658,S. Jung,77,81,4900000,70000,VfL Wolfsburg,German 1. Bundesliga,2015
193061,R. Pereyra,77,83,5000000,80000,Juventus,Italian Serie A,2015
193338,M. Destro,77,83,5500000,70000,Roma,Italian Serie A,2015
194365,S. Okazaki,77,77,6000000,70000,1. FSV Mainz 05,German 1. Bundesliga,2015
194644,Montoya,77,83,4400000,80000,FC Barcelona,Spain Primera Division,2015
195365,K. Kampl,77,82,5000000,80000,FC Red Bull Salzburg,Austrian Football Bundesliga,2015
196934,O. Özyakup,77,81,5000000,70000,Beşiktaş JK,Turkish Süper Lig,2015
197061,J. Matip,77,81,3800000,70000,FC Schalke 04,German 1. Bundesliga,2015
197937,P. Djilobodji,77,82,5000000,50000,FC Nantes,French Ligue 1,2015
199304,Danilo,77,84,3800000,70000,FC Porto,Portuguese Liga ZON SAGRES,2015
199451,W. Ben Yedder,77,81,5500000,50000,Toulouse Football Club,French Ligue 1,2015
199561,Nolito,77,82,5500000,60000,RC Celta de Vigo,Spain Primera Division,2015
199715,Vitolo,77,80,5500000,60000,Sevilla FC,Spain Primera Division,2015
200215,S. Rode,77,82,4100000,80000,FC Bayern München,German 1. Bundesliga,2015
200389,J. Oblak,77,82,3900000,70000,Atlético de Madrid,Spain Primera Division,2015
200529,N. Chadli,77,80,5500000,70000,Tottenham Hotspur,English Premier League,2015
201153,Morata,77,85,5000000,70000,Juventus,Italian Serie A,2015
201262,V. Darida,77,81,5000000,50000,Sport-Club Freiburg,German 1. Bundesliga,2015
203299,A. Carrillo,77,83,5500000,80000,Sporting CP,Portuguese Liga ZON SAGRES,2015
203528,L. Bangoura,77,80,4500000,40000,Rayo Vallecano,Spain Primera Division,2015
204024,C. Kramer,77,83,4100000,50000,Borussia Mönchengladbach,German 1. Bundesliga,2015
204970,F. Thauvin,77,84,4500000,70000,Olympique de Marseille,French Ligue 1,2015
205362,M. Nastasić,77,82,3800000,70000,Manchester City,English Premier League,2015
207862,M. Ginter,77,85,3800000,70000,Borussia Dortmund,German 1. Bundesliga,2015
